product_id,product_name,category,sub_category,brand,unit_price_inr,cost_price_inr,stock_status
20033,Classic Advance 033,Home & Kitchen,Furniture,Nova,2162.0,1507.0,Low Stock
20034,Sport Advance 034,Fashion,Shoes,FitMax,1285.0,714.0,Low Stock
20035,World Advance 035,Books,Non-Fiction,Nova,3029.0,2070.0,In Stock
20036,Flare Elite 036,Fashion,Dresses,PrimeLine,2964.0,1656.0,In Stock
20037,Modern Elite 037,Home & Kitchen,Furniture,Apex,718.0,482.0,In Stock
20038,Essence Elite 038,Beauty,Fragrance,FitMax,2288.0,1703.0,Low Stock
20039,Classic Elite 039,Fashion,Shirts,TechPro,703.0,413.0,In Stock
20040,Clear Elite 040,Beauty,Skincare,TechPro,1387.0,1144.0,In Stock
20041,Oxford Select 041,Fashion,Shirts,UrbanCart,2052.0,1517.0,In Stock
20042,Mist Select 042,Beauty,Fragrance,FitMax,778.0,479.0,In Stock
20043,Street Select 043,Fashion,Shoes,Apex,2234.0,1493.0,In Stock
20044,Classic Select 044,Fashion,Shirts,HomeEase,964.0,558.0,Out of Stock
20045,Classic Select 045,Fashion,Shoes,StyleHub,918.0,511.0,In Stock
20046,Flare Smart 046,Fashion,Dresses,UrbanCart,2120.0,1748.0,In Stock
20047,Ideas Smart 047,Books,Non-Fiction,HomeEase,778.0,585.0,In Stock
20048,Classic Smart 048,Home & Kitchen,Furniture,UrbanCart,753.0,590.0,In Stock
20049,Strength Smart 049,Sports,Fitness,StyleHub,2635.0,1941.0,In Stock
20050,Flow Smart 050,Sports,Yoga,StyleHub,1437.0,1181.0,In Stock
20051,Glow Max 051,Beauty,Skincare,UrbanCart,521.0,427.0,In Stock
20052,Kitchen Max 052,Home & Kitchen,Cookware,Apex,2336.0,1326.0,In Stock
20053,Casual Max 053,Fashion,Dresses,Nova,1028.0,624.0,In Stock
20054,Magic Max 054,Books,Children,HomeEase,538.0,360.0,In Stock
20055,Smart Max 055,Home & Kitchen,Storage,StyleHub,262.0,171.0,Low Stock
20056,Aura Ultra 056,Beauty,Fragrance,Apex,2410.0,1705.0,In Stock
20057,PowerPlay Ultra 057,Sports,Cricket,FitMax,766.0,483.0,In Stock
20058,Matte Ultra 058,Beauty,Makeup,FitMax,597.0,471.0,Low Stock
20059,Note Ultra 059,Electronics,Laptop,PrimeLine,2030.0,1121.0,Low Stock
20060,Color Ultra 060,Beauty,Makeup,Apex,2261.0,1780.0,In Stock
20061,Wall Lite 061,Home & Kitchen,Decor,HomeEase,803.0,536.0,In Stock
20062,Learn Lite 062,Books,Academic,TechPro,2424.0,1337.0,In Stock
20063,Formal Lite 063,Fashion,Shirts,FitMax,5093.0,4095.0,In Stock
20064,Comfort Lite 064,Fashion,Jeans,TechPro,3214.0,2198.0,In Stock
20065,World Lite 065,Books,Non-Fiction,Nova,2905.0,2229.0,In Stock
20066,Slim Premium 066,Fashion,Jeans,Apex,1643.0,1337.0,In Stock
20067,Home Premium 067,Home & Kitchen,Appliances,PrimeLine,1004.0,563.0,In Stock
20068,Exam Premium 068,Books,Academic,PrimeLine,1292.0,812.0,In Stock
20069,Bloom Premium 069,Beauty,Fragrance,UrbanCart,1784.0,1045.0,Low Stock
20070,Scent Premium 070,Beauty,Fragrance,StyleHub,591.0,342.0,In Stock
20071,Tab Everyday 071,Electronics,Tablet,UrbanCart,812.0,677.0,In Stock
20072,Elegant Everyday 072,Fashion,Dresses,HomeEase,530.0,420.0,In Stock
20073,Street Everyday 073,Fashion,Shoes,UrbanCart,1561.0,1029.0,In Stock
20074,Granite Everyday 074,Home & Kitchen,Cookware,StyleHub,1414.0,1069.0,In Stock
20075,Scent Everyday 075,Beauty,Fragrance,StyleHub,876.0,723.0,Low Stock
20076,Wall Series 076,Home & Kitchen,Decor,FitMax,2283.0,1407.0,Out of Stock
20077,Casual Series 077,Fashion,Shirts,FitMax,679.0,376.0,In Stock
20078,Summit Series 078,Sports,Outdoor,HomeEase,855.0,682.0,Low Stock
20079,Calm Series 079,Sports,Yoga,TechPro,2225.0,1706.0,In Stock
20080,Classic Series 080,Home & Kitchen,Cookware,TechPro,2450.0,1465.0,In Stock
20081,Chef Essential 081,Home & Kitchen,Cookware,Nova,799.0,557.0,In Stock
20082,Slate Essential 082,Electronics,Tablet,StyleHub,1557.0,931.0,In Stock
20083,Formal Essential 083,Fashion,Shirts,StyleHub,807.0,590.0,In Stock
20084,Note Essential 084,Electronics,Laptop,TechPro,1178.0,877.0,In Stock
20085,Note Essential 085,Electronics,Tablet,FitMax,1471.0,931.0,Low Stock
20086,Mystery Plus 086,Books,Fiction,PrimeLine,1928.0,1512.0,Low Stock
20087,Wonder Plus 087,Books,Children,Nova,1647.0,1140.0,Low Stock
20088,Matte Plus 088,Beauty,Makeup,FitMax,1600.0,1219.0,In Stock
20089,Boundary Plus 089,Sports,Cricket,TechPro,664.0,493.0,Out of Stock
20090,Essential Plus 090,Fashion,Accessories,StyleHub,1724.0,1181.0,Low Stock
20091,Glow Pro 091,Beauty,Skincare,Apex,1916.0,1222.0,In Stock
20092,Stories Pro 092,Books,Fiction,PrimeLine,2096.0,1281.0,In Stock
20093,Neo Pro 093,Electronics,Mobile,HomeEase,839.0,649.0,Low Stock
20094,Comfort Pro 094,Fashion,Jeans,Apex,2429.0,1804.0,In Stock
20095,Note Pro 095,Electronics,Tablet,StyleHub,569.0,361.0,In Stock
20096,Power Prime 096,Sports,Fitness,TechPro,1012.0,850.0,Out of Stock
20097,PowerPlay Prime 097,Sports,Cricket,Apex,1120.0,888.0,In Stock
20098,Champion Prime 098,Sports,Cricket,HomeEase,590.0,347.0,In Stock
20099,Radiance Prime 099,Beauty,Skincare,StyleHub,1109.0,664.0,In Stock
20100,Classic Prime 100,Fashion,Shoes,UrbanCart,1547.0,1103.0,In Stock
20101,Book Classic 101,Electronics,Laptop,TechPro,409.0,238.0,In Stock
20102,Core Classic 102,Sports,Fitness,HomeEase,1036.0,870.0,In Stock
20103,Exam Classic 103,Books,Academic,Apex,430.0,319.0,In Stock
20104,Magic Classic 104,Books,Children,TechPro,5049.0,2877.0,In Stock
20105,Classic Classic 105,Fashion,Jeans,TechPro,1538.0,1051.0,In Stock
20106,Stack Advance 106,Home & Kitchen,Storage,UrbanCart,1454.0,897.0,In Stock
20107,Glow Advance 107,Beauty,Makeup,UrbanCart,1558.0,1086.0,In Stock
20108,View Advance 108,Electronics,Tablet,HomeEase,1984.0,1238.0,In Stock
20109,Pad Advance 109,Electronics,Tablet,FitMax,2530.0,2023.0,In Stock
20110,Velocity Advance 110,Sports,Cycling,PrimeLine,485.0,372.0,In Stock
20111,Little Elite 111,Books,Children,Apex,3139.0,2580.0,In Stock
20112,Classic Elite 112,Fashion,Accessories,FitMax,3010.0,1834.0,Low Stock
20113,Essence Elite 113,Beauty,Fragrance,Apex,1283.0,854.0,In Stock
20114,Luxe Elite 114,Beauty,Makeup,Nova,1240.0,982.0,In Stock
20115,Wave Elite 115,Electronics,Headphones,UrbanCart,178.0,118.0,In Stock
20116,Comfort Select 116,Home & Kitchen,Furniture,FitMax,597.0,396.0,In Stock
20117,Home Select 117,Home & Kitchen,Appliances,FitMax,1877.0,1588.0,In Stock
20118,Fun Select 118,Books,Children,UrbanCart,2923.0,2284.0,Out of Stock
20119,Grace Select 119,Fashion,Dresses,TechPro,2151.0,1739.0,In Stock
20120,Match Select 120,Sports,Cricket,StyleHub,1275.0,857.0,In Stock
20121,Chef Smart 121,Home & Kitchen,Cookware,HomeEase,4684.0,3400.0,In Stock
20122,Ideas Smart 122,Books,Non-Fiction,FitMax,2574.0,1764.0,In Stock
20123,Exam Smart 123,Books,Academic,Nova,1037.0,710.0,In Stock
20124,Sport Smart 124,Fashion,Shoes,Apex,5532.0,3255.0,In Stock
20125,Easy Smart 125,Home & Kitchen,Appliances,Nova,657.0,527.0,In Stock
20126,Insights Max 126,Books,Non-Fiction,StyleHub,515.0,344.0,In Stock
20127,Core Max 127,Sports,Fitness,UrbanCart,1019.0,738.0,Low Stock
20128,Care Max 128,Beauty,Haircare,PrimeLine,818.0,660.0,In Stock
20129,Power Max 129,Home & Kitchen,Appliances,TechPro,1057.0,827.0,In Stock
20130,Scent Max 130,Beauty,Fragrance,TechPro,2250.0,1371.0,In Stock
20131,Oxford Ultra 131,Fashion,Shirts,Nova,1310.0,964.0,In Stock
20132,PowerPlay Ultra 132,Sports,Cricket,StyleHub,1332.0,931.0,In Stock
20133,Road Ultra 133,Sports,Cycling,PrimeLine,1392.0,874.0,In Stock
20134,Sport Ultra 134,Fashion,Shoes,StyleHub,298.0,168.0,In Stock
20135,Work Ultra 135,Electronics,Laptop,FitMax,500.0,369.0,Low Stock
20136,Glow Lite 136,Beauty,Skincare,HomeEase,1043.0,818.0,In Stock
20137,Learn Lite 137,Books,Academic,HomeEase,774.0,644.0,In Stock
20138,Home Lite 138,Home & Kitchen,Decor,StyleHub,1152.0,756.0,In Stock
20139,Knowledge Lite 139,Books,Non-Fiction,UrbanCart,3337.0,2235.0,In Stock
20140,Classic Lite 140,Fashion,Jeans,UrbanCart,1276.0,764.0,In Stock
20141,Zen Premium 141,Sports,Yoga,HomeEase,567.0,479.0,In Stock
20142,PowerPlay Premium 142,Sports,Cricket,Apex,800.0,644.0,In Stock
20143,Classic Premium 143,Home & Kitchen,Furniture,FitMax,4072.0,3409.0,In Stock
20144,Track Premium 144,Electronics,Smartwatch,Nova,3627.0,2534.0,In Stock
20145,World Premium 145,Books,Non-Fiction,StyleHub,1973.0,1209.0,In Stock
20146,Ride Everyday 146,Sports,Cycling,UrbanCart,485.0,350.0,In Stock
20147,Smooth Everyday 147,Beauty,Haircare,Nova,1635.0,1082.0,Low Stock
20148,Kitchen Everyday 148,Home & Kitchen,Appliances,TechPro,1719.0,1125.0,Out of Stock
20149,Note Everyday 149,Electronics,Laptop,UrbanCart,1362.0,783.0,In Stock
20150,Smart Everyday 150,Home & Kitchen,Storage,UrbanCart,925.0,529.0,In Stock
20151,Silk Series 151,Beauty,Haircare,PrimeLine,1058.0,702.0,In Stock
20152,Explorer Series 152,Sports,Outdoor,TechPro,884.0,732.0,In Stock
20153,Organize Series 153,Home & Kitchen,Storage,Apex,636.0,488.0,In Stock
20154,Accent Series 154,Home & Kitchen,Decor,Nova,3255.0,2533.0,Low Stock
20155,Classic Series 155,Home & Kitchen,Cookware,PrimeLine,2377.0,1474.0,In Stock
20156,Study Essential 156,Books,Academic,UrbanCart,1113.0,857.0,In Stock
20157,Glow Essential 157,Beauty,Makeup,TechPro,1684.0,1131.0,In Stock
20158,Exam Essential 158,Books,Academic,HomeEase,1726.0,980.0,In Stock
20159,Note Essential 159,Electronics,Laptop,TechPro,6142.0,4106.0,In Stock
20160,Comfort Essential 160,Fashion,Shirts,Nova,2362.0,1392.0,In Stock
20161,Slim Plus 161,Fashion,Jeans,StyleHub,2304.0,1857.0,In Stock
20162,Elegant Plus 162,Fashion,Dresses,HomeEase,1373.0,1101.0,In Stock
20163,Street Plus 163,Fashion,Shoes,Nova,1010.0,643.0,In Stock
20164,Note Plus 164,Electronics,Laptop,FitMax,3290.0,2413.0,In Stock
20165,Wave Plus 165,Electronics,Headphones,StyleHub,2047.0,1349.0,Low Stock
20166,Striker Pro 166,Sports,Cricket,TechPro,781.0,466.0,In Stock
20167,Regular Pro 167,Fashion,Jeans,FitMax,1799.0,1340.0,In Stock
20168,Fit Pro 168,Electronics,Smartwatch,StyleHub,2308.0,1796.0,Low Stock
20169,Everyday Pro 169,Fashion,Accessories,StyleHub,343.0,268.0,In Stock
20170,Happy Pro 170,Books,Children,StyleHub,735.0,437.0,In Stock
20171,Oxford Prime 171,Fashion,Shirts,Apex,1696.0,1194.0,Low Stock
20172,Ideas Prime 172,Books,Non-Fiction,Nova,383.0,213.0,In Stock
20173,Neo Prime 173,Electronics,Mobile,HomeEase,425.0,245.0,Low Stock
20174,Pad Prime 174,Electronics,Tablet,HomeEase,1123.0,645.0,In Stock
20175,Color Prime 175,Beauty,Makeup,TechPro,1844.0,1046.0,In Stock
20176,Trail Classic 176,Sports,Outdoor,Apex,1900.0,1235.0,In Stock
20177,Wonder Classic 177,Books,Children,StyleHub,3746.0,2462.0,In Stock
20178,Straight Classic 178,Fashion,Jeans,PrimeLine,1413.0,1073.0,In Stock
20179,Granite Classic 179,Home & Kitchen,Cookware,HomeEase,1051.0,682.0,In Stock
20180,Clear Classic 180,Beauty,Skincare,TechPro,573.0,339.0,In Stock
20181,Wall Advance 181,Home & Kitchen,Decor,StyleHub,1043.0,870.0,In Stock
20182,Modern Advance 182,Home & Kitchen,Furniture,HomeEase,2122.0,1724.0,In Stock
20183,Tune Advance 183,Electronics,Headphones,HomeEase,2185.0,1283.0,In Stock
20184,Cycle Advance 184,Sports,Cycling,FitMax,1591.0,1048.0,In Stock
20185,Repair Advance 185,Beauty,Haircare,Nova,1911.0,1147.0,In Stock
20186,One Elite 186,Electronics,Mobile,HomeEase,3071.0,2573.0,In Stock
20187,Hydra Elite 187,Beauty,Skincare,TechPro,1407.0,924.0,In Stock
20188,Fun Elite 188,Books,Children,FitMax,3258.0,1888.0,In Stock
20189,Boundary Elite 189,Sports,Cricket,Apex,835.0,641.0,Low Stock
20190,Classic Elite 190,Fashion,Shoes,TechPro,1277.0,975.0,Low Stock
20191,One Select 191,Electronics,Mobile,UrbanCart,980.0,610.0,In Stock
20192,Glow Select 192,Beauty,Makeup,Nova,2242.0,1449.0,In Stock
20193,Pure Select 193,Beauty,Skincare,TechPro,693.0,467.0,Low Stock
20194,Tales Select 194,Books,Fiction,Nova,1087.0,685.0,In Stock
20195,Color Select 195,Beauty,Makeup,Nova,400.0,255.0,In Stock
20196,Zen Smart 196,Sports,Yoga,TechPro,1971.0,1558.0,In Stock
20197,Glow Smart 197,Beauty,Makeup,StyleHub,3012.0,2336.0,In Stock
20198,Essence Smart 198,Beauty,Fragrance,HomeEase,2421.0,1835.0,Low Stock
20199,Urban Smart 199,Home & Kitchen,Furniture,Nova,2272.0,1718.0,In Stock
20200,Classic Smart 200,Fashion,Jeans,Nova,2311.0,1633.0,In Stock
20201,Comfort Max 201,Home & Kitchen,Furniture,PrimeLine,2111.0,1383.0,In Stock
20202,Walk Max 202,Fashion,Shoes,PrimeLine,1997.0,1530.0,In Stock
20203,Chronicles Max 203,Books,Fiction,Nova,2082.0,1218.0,In Stock
20204,Grace Max 204,Fashion,Dresses,UrbanCart,875.0,518.0,Low Stock
20205,Everyday Max 205,Fashion,Dresses,Apex,1176.0,691.0,In Stock
20206,Study Ultra 206,Books,Academic,TechPro,1402.0,1079.0,In Stock
20207,Max Ultra 207,Electronics,Mobile,HomeEase,1077.0,783.0,In Stock
20208,Steel Ultra 208,Home & Kitchen,Cookware,PrimeLine,484.0,332.0,In Stock
20209,Grace Ultra 209,Fashion,Dresses,TechPro,600.0,416.0,In Stock
20210,Everyday Ultra 210,Fashion,Dresses,Apex,1555.0,1241.0,In Stock
20211,Oxford Lite 211,Fashion,Shirts,FitMax,2413.0,1415.0,In Stock
20212,Balance Lite 212,Sports,Yoga,Nova,1348.0,896.0,Low Stock
20213,Style Lite 213,Fashion,Accessories,TechPro,8080.0,6287.0,In Stock
20214,Grace Lite 214,Fashion,Dresses,UrbanCart,737.0,551.0,In Stock
20215,Classic Lite 215,Fashion,Shoes,PrimeLine,1789.0,1217.0,Low Stock
20216,Insights Premium 216,Books,Non-Fiction,TechPro,3100.0,1914.0,Low Stock
20217,Wonder Premium 217,Books,Children,HomeEase,2678.0,2233.0,In Stock
20218,Kitchen Premium 218,Home & Kitchen,Appliances,StyleHub,2050.0,1378.0,In Stock
20219,Track Premium 219,Electronics,Smartwatch,TechPro,2686.0,2185.0,Low Stock
20220,Note Premium 220,Electronics,Tablet,Apex,1389.0,1088.0,In Stock
20221,Slim Everyday 221,Fashion,Jeans,TechPro,3948.0,3192.0,In Stock
20222,Glow Everyday 222,Beauty,Makeup,TechPro,3084.0,1712.0,In Stock
20223,Tune Everyday 223,Electronics,Headphones,FitMax,770.0,534.0,In Stock
20224,Luxe Everyday 224,Beauty,Makeup,TechPro,1651.0,1037.0,In Stock
20225,Comfort Everyday 225,Fashion,Shirts,FitMax,490.0,310.0,Low Stock
20226,Little Series 226,Books,Children,HomeEase,3602.0,2273.0,In Stock
20227,Glow Series 227,Beauty,Makeup,TechPro,1550.0,1034.0,Out of Stock
20228,Street Series 228,Fashion,Shoes,UrbanCart,3219.0,2167.0,In Stock
20229,Luxe Series 229,Beauty,Makeup,UrbanCart,1248.0,924.0,In Stock
20230,Work Series 230,Electronics,Laptop,Nova,401.0,257.0,In Stock
20231,Urban Essential 231,Fashion,Accessories,TechPro,7437.0,4699.0,In Stock
20232,Store Essential 232,Home & Kitchen,Storage,StyleHub,1459.0,960.0,In Stock
20233,Classic Essential 233,Home & Kitchen,Furniture,Nova,699.0,528.0,In Stock
20234,Grace Essential 234,Fashion,Dresses,StyleHub,2821.0,1552.0,In Stock
20235,Clear Essential 235,Beauty,Skincare,FitMax,5031.0,3894.0,In Stock
20236,Aura Plus 236,Beauty,Fragrance,PrimeLine,1174.0,765.0,In Stock
20237,Learn Plus 237,Books,Academic,UrbanCart,1256.0,908.0,In Stock
20238,Organize Plus 238,Home & Kitchen,Storage,TechPro,1564.0,1218.0,In Stock
20239,Calm Plus 239,Sports,Yoga,FitMax,651.0,458.0,In Stock
20240,Repair Plus 240,Beauty,Haircare,Nova,855.0,636.0,In Stock
20241,Study Pro 241,Books,Academic,PrimeLine,4265.0,3523.0,Low Stock
20242,Ideas Pro 242,Books,Non-Fiction,Nova,1229.0,687.0,Low Stock
20243,Flex Pro 243,Sports,Yoga,HomeEase,777.0,509.0,In Stock
20244,Classic Pro 244,Fashion,Shirts,Nova,998.0,826.0,In Stock
20245,Clear Pro 245,Beauty,Skincare,UrbanCart,2690.0,2155.0,In Stock
20246,Aura Prime 246,Beauty,Fragrance,HomeEase,371.0,273.0,In Stock
20247,Balance Prime 247,Sports,Yoga,FitMax,1581.0,978.0,Low Stock
20248,Steel Prime 248,Home & Kitchen,Cookware,Apex,6637.0,4308.0,In Stock
20249,Tales Prime 249,Books,Fiction,TechPro,5015.0,4049.0,Low Stock
20250,Match Prime 250,Sports,Cricket,Apex,1944.0,1476.0,In Stock
20251,One Classic 001,Electronics,Mobile,TechPro,3152.0,2004.0,Out of Stock
20252,Home Classic 002,Home & Kitchen,Appliances,Nova,3132.0,1847.0,In Stock
20253,Classic Classic 003,Home & Kitchen,Furniture,FitMax,1234.0,968.0,In Stock
20254,Radiance Classic 004,Beauty,Skincare,Nova,2443.0,1766.0,Low Stock
20255,Essential Classic 005,Home & Kitchen,Furniture,TechPro,4284.0,3594.0,In Stock
20256,Comfort Advance 006,Home & Kitchen,Furniture,PrimeLine,589.0,396.0,In Stock
20257,Kitchen Advance 007,Home & Kitchen,Cookware,Apex,1949.0,1276.0,In Stock
20258,Fit Advance 008,Electronics,Smartwatch,TechPro,1694.0,1079.0,Low Stock
20259,Sport Advance 009,Fashion,Shoes,Apex,1432.0,995.0,Low Stock
20260,Classic Advance 010,Home & Kitchen,Cookware,TechPro,1352.0,874.0,In Stock
20261,Glow Elite 011,Beauty,Skincare,HomeEase,1557.0,891.0,In Stock
20262,Table Elite 012,Home & Kitchen,Decor,PrimeLine,1644.0,1058.0,In Stock
20263,Steel Elite 013,Home & Kitchen,Cookware,UrbanCart,2771.0,1706.0,In Stock
20264,Magic Elite 014,Books,Children,PrimeLine,1826.0,1451.0,In Stock
20265,Train Elite 015,Sports,Fitness,StyleHub,1193.0,740.0,In Stock
20266,Chef Select 016,Home & Kitchen,Cookware,FitMax,776.0,534.0,In Stock
20267,Sound Select 017,Electronics,Headphones,Nova,985.0,741.0,In Stock
20268,Fun Select 018,Books,Children,UrbanCart,1587.0,944.0,In Stock
20269,Strength Select 019,Sports,Fitness,Nova,846.0,600.0,In Stock
20270,Classic Select 020,Fashion,Shoes,Apex,2477.0,1992.0,In Stock
20271,Zen Smart 021,Sports,Yoga,FitMax,1771.0,1284.0,In Stock
20272,Kitchen Smart 022,Home & Kitchen,Cookware,FitMax,2817.0,1957.0,In Stock
20273,Formal Smart 023,Fashion,Shirts,PrimeLine,884.0,709.0,Low Stock
20274,Sport Smart 024,Fashion,Shoes,HomeEase,780.0,651.0,In Stock
20275,Velocity Smart 025,Sports,Cycling,UrbanCart,2803.0,2232.0,Low Stock
20276,Wall Max 026,Home & Kitchen,Decor,PrimeLine,1457.0,980.0,Low Stock
20277,Elegant Max 027,Fashion,Dresses,FitMax,1174.0,861.0,Low Stock
20278,Exam Max 028,Books,Academic,UrbanCart,2109.0,1493.0,In Stock
20279,Granite Max 029,Home & Kitchen,Cookware,UrbanCart,2059.0,1320.0,In Stock
20280,Work Max 030,Electronics,Laptop,Apex,592.0,403.0,In Stock
20281,Ride Ultra 031,Sports,Cycling,Apex,3295.0,2632.0,In Stock
20282,Learn Ultra 032,Books,Academic,Nova,1026.0,657.0,In Stock
20283,Street Ultra 033,Fashion,Shoes,FitMax,4044.0,3303.0,In Stock
20284,Track Ultra 034,Electronics,Smartwatch,FitMax,563.0,477.0,In Stock
20285,Color Ultra 035,Beauty,Makeup,PrimeLine,1646.0,1057.0,In Stock
20286,Stack Lite 036,Home & Kitchen,Storage,TechPro,1187.0,697.0,Low Stock
20287,Mist Lite 037,Beauty,Fragrance,Apex,371.0,311.0,In Stock
20288,Tune Lite 038,Electronics,Headphones,Nova,2055.0,1236.0,In Stock
20289,Strength Lite 039,Sports,Fitness,TechPro,384.0,300.0,Out of Stock
20290,Velocity Lite 040,Sports,Cycling,Apex,1108.0,622.0,In Stock
20291,Glow Premium 041,Beauty,Skincare,FitMax,2746.0,1704.0,In Stock
20292,Glow Premium 042,Beauty,Makeup,UrbanCart,949.0,596.0,Low Stock
20293,Organize Premium 043,Home & Kitchen,Storage,HomeEase,744.0,476.0,Out of Stock
20294,Tales Premium 044,Books,Fiction,UrbanCart,2253.0,1861.0,In Stock
20295,Smart Premium 045,Home & Kitchen,Storage,Apex,1139.0,686.0,In Stock
20296,Urban Everyday 046,Fashion,Accessories,TechPro,1029.0,620.0,In Stock
20297,Learn Everyday 047,Books,Academic,Apex,3068.0,2324.0,Low Stock
20298,Air Everyday 048,Electronics,Laptop,PrimeLine,627.0,524.0,Low Stock
20299,Note Everyday 049,Electronics,Laptop,UrbanCart,994.0,663.0,In Stock
20300,Flow Everyday 050,Sports,Yoga,StyleHub,2352.0,1839.0,Low Stock
20301,Oxford Series 051,Fashion,Shirts,TechPro,601.0,336.0,In Stock
20302,Glow Series 052,Beauty,Makeup,HomeEase,4247.0,3386.0,In Stock
20303,Pure Series 053,Beauty,Skincare,TechPro,1163.0,892.0,In Stock
20304,Adventure Series 054,Sports,Outdoor,StyleHub,2365.0,1937.0,In Stock
20305,Color Series 055,Beauty,Makeup,PrimeLine,2362.0,1751.0,Low Stock
20306,Oxford Essential 056,Fashion,Shirts,FitMax,1213.0,1010.0,In Stock
20307,Mist Essential 057,Beauty,Fragrance,StyleHub,981.0,654.0,In Stock
20308,Flex Essential 058,Sports,Yoga,StyleHub,1303.0,1003.0,In Stock
20309,Classic Essential 059,Fashion,Shirts,HomeEase,2129.0,1634.0,Low Stock
20310,Living Essential 060,Home & Kitchen,Decor,StyleHub,705.0,445.0,In Stock
20311,Flare Plus 061,Fashion,Dresses,HomeEase,613.0,506.0,Low Stock
20312,Wonder Plus 062,Books,Children,UrbanCart,3515.0,2755.0,In Stock
20313,Fit Plus 063,Electronics,Smartwatch,Apex,831.0,673.0,Low Stock
20314,Space Plus 064,Home & Kitchen,Storage,Apex,1686.0,1111.0,In Stock
20315,World Plus 065,Books,Non-Fiction,TechPro,1174.0,942.0,In Stock
20316,Trail Pro 066,Sports,Outdoor,Apex,1209.0,779.0,Low Stock
20317,Pro Pro 067,Electronics,Laptop,Apex,3394.0,2849.0,In Stock
20318,Classic Pro 068,Home & Kitchen,Furniture,HomeEase,1267.0,706.0,Low Stock
20319,Adventure Pro 069,Sports,Outdoor,UrbanCart,1062.0,781.0,In Stock
20320,Flow Pro 070,Sports,Yoga,HomeEase,1124.0,656.0,In Stock
20321,Striker Prime 071,Sports,Cricket,StyleHub,966.0,740.0,Low Stock
20322,Ideas Prime 072,Books,Non-Fiction,Nova,866.0,571.0,Low Stock
20323,Matte Prime 073,Beauty,Makeup,HomeEase,968.0,785.0,In Stock
20324,Scholar Prime 074,Books,Academic,FitMax,3948.0,3205.0,In Stock
20325,Scent Prime 075,Beauty,Fragrance,Apex,2127.0,1405.0,Low Stock
20326,Runner Classic 076,Fashion,Shoes,FitMax,1070.0,849.0,In Stock
20327,Hydra Classic 077,Beauty,Skincare,TechPro,2535.0,1912.0,Low Stock
20328,Formal Classic 078,Fashion,Shirts,HomeEase,477.0,323.0,In Stock
20329,Radiance Classic 079,Beauty,Skincare,Nova,3275.0,2138.0,In Stock
20330,Guide Classic 080,Books,Academic,PrimeLine,3108.0,1905.0,In Stock
